Entity,Code,Year,Coal per capita (kWh),Oil per capita (kWh),Gas per capita (kWh)
Africa,,1965,1010.462,1017.972,29.811
Africa,,1966,984.358,1086.678,32.505
Africa,,1967,981.169,1051.101,31.327
Africa,,1968,994.883,1081.425,30.957
Africa,,1969,978.624,1068.662,35.267
Africa,,1970,992.596,1151.215,42.703
Africa,,1971,1026.888,1268.26,49.346
Africa,,1972,1003.587,1339.28,64.442
Africa,,1973,1040.369,1403.002,100.63
Africa,,1974,1054.505,1412.201,110.291
Africa,,1975,1087.794,1438.294,129.351
Africa,,1976,1128.901,1553.957,143.101
Africa,,1977,1122.459,1600.495,155.766
Africa,,1978,1060.861,1638.871,216.184
Africa,,1979,1095.132,1699.394,321.347
Africa,,1980,1141.002,1748.321,392.359
Africa,,1981,1297.539,1808.92,466.305
Africa,,1982,1391.129,1846.186,489.518
Africa,,1983,1375.649,1855.708,523.213
Africa,,1984,1430.403,1842.407,487.307
Africa,,1985,1434.796,1831.361,508.257
Africa,,1986,1427.11,1754.03,555.124
Africa,,1987,1427.095,1791.603,557.152
Africa,,1988,1491.435,1823.552,600.562
Africa,,1989,1362.03,1839.484,605.483
Africa,,1990,1392.576,1818.623,632.42
Africa,,1991,1317.994,1783.141,620.437
Africa,,1992,1291.627,1777.15,633.955
Africa,,1993,1278.275,1752.08,605.167
Africa,,1994,1278.399,1747.448,617.387
Africa,,1995,1285.156,1763.623,643.055
Africa,,1996,1270.876,1763.027,658.441
Africa,,1997,1271.426,1766.69,629.497
Africa,,1998,1212.148,1765.604,646.444
Africa,,1999,1219.806,1784.949,636.788
Africa,,2000,1187.785,1751.753,686.601
Africa,,2001,1174.13,1731.814,773.456
Africa,,2002,1097.268,1721.031,800.266
Africa,,2003,1165.624,1724.581,829.724
Africa,,2004,1251.104,1763.037,881.469
Africa,,2005,1133.032,1806.821,892.163
Africa,,2006,1120.907,1774.576,908.222
Africa,,2007,1111.277,1788.601,942.93
Africa,,2008,1194.265,1841.983,959.663
Africa,,2009,1159.304,1861.258,943.456
Africa,,2010,1120.119,1905.048,951.76
Africa,,2011,1073.353,1806.28,1005.321
Africa,,2012,1019.869,1856.003,1051.841
Africa,,2013,1006.762,1873.157,1038.516
Africa,,2014,1027.792,1855.962,1040.34
Africa,,2015,945.946,1849.843,1086.402
Africa,,2016,978.648,1819.385,1088.363
Africa,,2017,950.433,1784.006,1125.914
Africa,,2018,959.081,1757.783,1166.319
